5.11E+14,2021-05-25T21:44:10.279Z,3,,,,,,,
5.11E+14,2021-05-25T21:44:10.285Z,3,,,,,,,
5.11E+14,2021-05-25T21:44:10.290Z,2,,,,,,,
5.11E+14,2021-05-25T21:44:10.295Z,3,,,,,,,
5.11E+14,2021-05-25T21:44:10.301Z,4,,,,,,,
5.11E+14,2021-05-25T21:44:10.305Z,3,,,,,,,
5.11E+14,2021-05-25T21:44:10.309Z,3,,,,,,,
5.11E+14,2021-05-25T21:44:10.313Z,3,,,,,,,
5.11E+14,2021-05-25T21:44:10.316Z,2,,,,,,,
5.11E+14,2021-05-25T21:44:10.320Z,3,,,,,,,
5.11E+14,2021-05-25T21:44:10.325Z,4,,,,,,,
no AE with 10 pass,50 pass,4.103448276,,,,,,,
,,,,,,,,,
5.11E+14,2021-05-25T21:45:04.562Z,60,,,,,,,
5.11E+14,2021-05-25T21:45:04.581Z,7,,,,,,,
5.11E+14,2021-05-25T21:45:04.588Z,5,,,,,,,
5.11E+14,2021-05-25T21:45:04.596Z,7,,,,,,,
5.11E+14,2021-05-25T21:45:04.601Z,4,,,,,,,
5.11E+14,2021-05-25T21:45:04.608Z,6,,,,,,,
5.11E+14,2021-05-25T21:45:04.616Z,4,,,,,,,
5.11E+14,2021-05-25T21:45:04.624Z,6,,,,,,,
5.11E+14,2021-05-25T21:45:04.627Z,2,,,,,,,
5.11E+14,2021-05-25T21:45:04.637Z,5,,,,,,,
5.11E+14,2021-05-25T21:45:04.640Z,1,,,,,,,
5.11E+14,2021-05-25T21:45:04.648Z,2,,,,,,,
5.11E+14,2021-05-25T21:45:04.661Z,9,,,,,,,
5.11E+14,2021-05-25T21:45:04.664Z,1,,,,,,,
5.11E+14,2021-05-25T21:45:04.672Z,3,,,,,,,
5.11E+14,2021-05-25T21:45:04.676Z,3,,,,,,,
5.11E+14,2021-05-25T21:45:04.680Z,2,,,,,,,
5.11E+14,2021-05-25T21:45:04.683Z,2,,,,,,,
5.11E+14,2021-05-25T21:45:04.688Z,2,,,,,,,
5.11E+14,2021-05-25T21:45:04.691Z,2,,,,,,,
5.11E+14,2021-05-25T21:45:04.694Z,2,,,,,,,
5.11E+14,2021-05-25T21:45:04.697Z,2,,,,,,,
5.11E+14,2021-05-25T21:45:04.701Z,3,,,,,,,
5.11E+14,2021-05-25T21:45:04.704Z,2,,,,,,,
5.11E+14,2021-05-25T21:45:04.707Z,2,,,,,,,
5.11E+14,2021-05-25T21:45:04.714Z,5,,,,,,,
5.11E+14,2021-05-25T21:45:04.717Z,1,,,,,,,
5.11E+14,2021-05-25T21:45:04.721Z,2,,,,,,,
5.11E+14,2021-05-25T21:45:04.724Z,2,,,,,,,
5.11E+14,2021-05-25T21:45:04.727Z,1,,,,,,,
AE with 50 pass,,3.275862069,,,,,,,
,,,,,,,,,
5.12E+14,2021-05-25T21:46:28.854Z,400,,,,,,,
5.12E+14,2021-05-25T21:46:28.879Z,7,,,,,,,
5.12E+14,2021-05-25T21:46:28.886Z,6,,,,,,,
5.12E+14,2021-05-25T21:46:28.893Z,6,,,,,,,
5.12E+14,2021-05-25T21:46:28.900Z,6,,,,,,,
5.12E+14,2021-05-25T21:46:28.914Z,13,,,,,,,
5.12E+14,2021-05-25T21:46:28.919Z,3,,,,,,,
5.12E+14,2021-05-25T21:46:28.924Z,0,,,,,,,
5.12E+14,2021-05-25T21:46:28.934Z,1,,,,,,,
5.12E+14,2021-05-25T21:46:28.949Z,4,,,,,,,
5.12E+14,2021-05-25T21:46:28.953Z,2,,,,,,,
5.12E+14,2021-05-25T21:46:28.961Z,4,,,,,,,
5.12E+14,2021-05-25T21:46:28.966Z,4,,,,,,,
5.12E+14,2021-05-25T21:46:28.969Z,2,,,,,,,
5.12E+14,2021-05-25T21:46:28.974Z,3,,,,,,,
5.12E+14,2021-05-25T21:46:28.979Z,4,,,,,,,
5.12E+14,2021-05-25T21:46:28.985Z,4,,,,,,,
5.12E+14,2021-05-25T21:46:28.992Z,6,,,,,,,
5.12E+14,2021-05-25T21:46:28.996Z,2,,,,,,,
5.12E+14,2021-05-25T21:46:29.002Z,4,,,,,,,
5.12E+14,2021-05-25T21:46:29.007Z,3,,,,,,,
5.12E+14,2021-05-25T21:46:29.010Z,2,,,,,,,
5.12E+14,2021-05-25T21:46:29.015Z,3,,,,,,,
5.12E+14,2021-05-25T21:46:29.018Z,2,,,,,,,
5.12E+14,2021-05-25T21:46:29.022Z,3,,,,,,,
5.12E+14,2021-05-25T21:46:29.025Z,2,,,,,,,
5.12E+14,2021-05-25T21:46:29.029Z,2,,,,,,,
5.12E+14,2021-05-25T21:46:29.035Z,5,,,,,,,
5.12E+14,2021-05-25T21:46:29.038Z,2,,,,,,,
5.12E+14,2021-05-25T21:46:29.042Z,3,,,,,,,
no AE with 100 pass,,3.724137931,,,,,,,
,,,,,,,,,
5.12E+14,2021-05-25T21:47:24.076Z,61,,,,,,,
5.12E+14,2021-05-25T21:47:24.100Z,9,,,,,,,
5.12E+14,2021-05-25T21:47:24.108Z,7,,,,,,,
5.12E+14,2021-05-25T21:47:24.116Z,7,,,,,,,
5.12E+14,2021-05-25T21:47:24.124Z,6,,,,,,,
5.12E+14,2021-05-25T21:47:24.133Z,7,,,,,,,
5.12E+14,2021-05-25T21:47:24.141Z,5,,,,,,,
5.12E+14,2021-05-25T21:47:24.150Z,6,,,,,,,
5.12E+14,2021-05-25T21:47:24.160Z,6,,,,,,,
5.12E+14,2021-05-25T21:47:24.162Z,0,,,,,,,
5.12E+14,2021-05-25T21:47:24.174Z,6,,,,,,,
5.12E+14,2021-05-25T21:47:24.177Z,1,,,,,,,
5.12E+14,2021-05-25T21:47:24.191Z,9,,,,,,,
5.12E+14,2021-05-25T21:47:24.195Z,1,,,,,,,
5.12E+14,2021-05-25T21:47:24.204Z,4,,,,,,,
5.12E+14,2021-05-25T21:47:24.209Z,4,,,,,,,
5.12E+14,2021-05-25T21:47:24.215Z,3,,,,,,,
5.12E+14,2021-05-25T21:47:24.220Z,3,,,,,,,
5.12E+14,2021-05-25T21:47:24.227Z,4,,,,,,,
5.12E+14,2021-05-25T21:47:24.231Z,3,,,,,,,
5.12E+14,2021-05-25T21:47:24.236Z,4,,,,,,,
5.12E+14,2021-05-25T21:47:24.239Z,1,,,,,,,
5.12E+14,2021-05-25T21:47:24.245Z,3,,,,,,,
5.12E+14,2021-05-25T21:47:24.248Z,2,,,,,,,
5.12E+14,2021-05-25T21:47:24.251Z,2,,,,,,,
5.12E+14,2021-05-25T21:47:24.257Z,5,,,,,,,
5.12E+14,2021-05-25T21:47:24.261Z,1,,,,,,,
5.12E+14,2021-05-25T21:47:24.264Z,2,,,,,,,
5.12E+14,2021-05-25T21:47:24.269Z,3,,,,,,,
5.12E+14,2021-05-25T21:47:24.272Z,2,,,,,,,
AE with 100 pass,,4,,,,,,,
,,,,,,,,,
5.12E+14,2021-05-25T21:48:30.939Z,396,,,,,,,
5.12E+14,2021-05-25T21:48:30.965Z,12,,,,,,,
5.12E+14,2021-05-25T21:48:30.971Z,4,,,,,,,
5.12E+14,2021-05-25T21:48:30.978Z,2,,,,,,,
5.12E+14,2021-05-25T21:48:30.986Z,0,,,,,,,
5.12E+14,2021-05-25T21:48:31.010Z,16,,,,,,,
5.12E+14,2021-05-25T21:48:31.020Z,9,,,,,,,
5.12E+14,2021-05-25T21:48:31.023Z,1,,,,,,,
5.12E+14,2021-05-25T21:48:31.035Z,4,,,,,,,
5.12E+14,2021-05-25T21:48:31.043Z,5,,,,,,,
5.12E+14,2021-05-25T21:48:31.047Z,3,,,,,,,
5.12E+14,2021-05-25T21:48:31.050Z,2,,,,,,,
5.12E+14,2021-05-25T21:48:31.055Z,3,,,,,,,
5.12E+14,2021-05-25T21:48:31.058Z,2,,,,,,,
5.12E+14,2021-05-25T21:48:31.062Z,3,,,,,,,
5.12E+14,2021-05-25T21:48:31.065Z,2,,,,,,,
5.12E+14,2021-05-25T21:48:31.069Z,2,,,,,,,
5.12E+14,2021-05-25T21:48:31.076Z,5,,,,,,,
5.12E+14,2021-05-25T21:48:31.080Z,2,,,,,,,
5.12E+14,2021-05-25T21:48:31.085Z,3,,,,,,,
5.12E+14,2021-05-25T21:48:31.091Z,3,,,,,,,
5.12E+14,2021-05-25T21:48:31.096Z,3,,,,,,,
5.12E+14,2021-05-25T21:48:31.101Z,3,,,,,,,
5.12E+14,2021-05-25T21:48:31.107Z,4,,,,,,,
5.12E+14,2021-05-25T21:48:31.111Z,3,,,,,,,
5.12E+14,2021-05-25T21:48:31.115Z,3,,,,,,,
5.12E+14,2021-05-25T21:48:31.118Z,2,,,,,,,
5.12E+14,2021-05-25T21:48:31.123Z,3,,,,,,,
5.12E+14,2021-05-25T21:48:31.126Z,2,,,,,,,
5.12E+14,2021-05-25T21:48:31.130Z,2,,,,,,,
No AE wiith 250 pass,,3.724137931,,,,,,,
,,,,,,,,,
5.12E+14,2021-05-25T21:49:20.987Z,57,,,,,,,
5.12E+14,2021-05-25T21:49:21.010Z,9,,,,,,,
5.12E+14,2021-05-25T21:49:21.017Z,5,,,,,,,
5.12E+14,2021-05-25T21:49:21.022Z,4,,,,,,,
5.12E+14,2021-05-25T21:49:21.029Z,6,,,,,,,
5.12E+14,2021-05-25T21:49:21.037Z,7,,,,,,,
5.12E+14,2021-05-25T21:49:21.042Z,2,,,,,,,
